,text,link
0,"Sensex, Nifty hit four-month highs as HDFC Bank jumps",https://news.yahoo.com/sensex-nifty-near-four-month-041054177.html
1,"Indian stocks at four-month highs as HDFC Bank, autos climb",https://finance.yahoo.com/news/sensex-nifty-near-four-month-041054177.html
2,Hedge Funds Arent Crazy About HDFC Bank Limited (HDB) Anymore,https://finance.yahoo.com/news/hedge-funds-aren-t-crazy-205416312.html
3,"State Bank of India, DIFC Branch -- Moody's takes rating actions on 11 Indian banks following sovereign downgrade",http://www.moodys.com/page/viewresearchdoc.aspx?docid=PR_424923&cid=HFGG75LYEO30
4,Why Cooper Investors is Bullish on Sony (SNE) and HDFC Bank (HDB) Stocks?,https://finance.yahoo.com/news/why-cooper-investors-bullish-sony-143421877.html
5,"Nifty, Sensex rise on HDFC Bank boost, coronavirus fears cap gains",https://finance.yahoo.com/news/nifty-sensex-rise-hdfc-bank-041210965.html
6,"HDFC Bank ADR Earnings, Revenue Miss in Q4",https://finance.yahoo.com/news/hdfc-bank-adr-earnings-revenue-160800519.html
7,HDFC Bank March quarter profit up 18%; board shortlists three names in CEO search,https://finance.yahoo.com/news/hdfc-bank-march-quarter-profit-122423462.html
8,Indias Plunging Stock Prices May Yield Bargains for Investors,https://www.barrons.com/articles/indias-plunging-stock-prices-may-yield-bargains-51586513701?siteid=yhoof2
9,HDFC Bank (HDB) Surges: Stock Moves 11.4% Higher,https://finance.yahoo.com/news/hdfc-bank-hdb-surges-stock-124412438.html
10,Top Indian Bank Ramps Up Corporate Loans as Rivals Retreat,https://finance.yahoo.com/news/biggest-indian-bank-ramps-corporate-230000085.html
11,Hedge Funds Were Selling HDFC Bank Limited (HDB) Before Coronavirus,https://finance.yahoo.com/news/hedge-funds-were-selling-hdfc-003232680.html
12,Goldman Marcus Unit Head in Running to Become HDFC Bank CEO,https://finance.yahoo.com/news/goldman-consumer-banking-chief-running-083257996.html
13,Exclusive: HDFC Bank to tap Egon Zehnder to identify Aditya Puri's successor - sources,https://news.yahoo.com/hdfc-tap-egon-zehnder-identify-084434238.html
14,Exclusive: HDFC Bank taps Egon Zehnder to identify Aditya Puri's successor,https://finance.yahoo.com/news/hdfc-tap-egon-zehnder-identify-084434238.html
15,"Nifty, Sensex slide on weak earnings; banks, refiners drag",https://finance.yahoo.com/news/nifty-sensex-slip-peaks-refiners-050904052.html
16,"HDFC Bank third-quarter net up 33% on loan growth, beats estimates",https://news.yahoo.com/hdfc-bank-third-quarter-net-110631751.html
17,"The Zacks Analyst Blog Highlights: GreenTree, Baidu, HDFC, Changyou and Sibanye",https://finance.yahoo.com/news/zacks-analyst-blog-highlights-greentree-132401678.html
18,5 Best Emerging Markets Stocks to Buy for 2020,https://finance.yahoo.com/news/5-best-emerging-markets-stocks-141002816.html
19,Hedge Fund Consensus Stocks vs. HDFC Bank Limited (HDB) In 2019,https://finance.yahoo.com/news/hedge-fund-consensus-stocks-vs-010805295.html
20,What Makes HDFC Bank (HDB) a New Buy Stock,https://finance.yahoo.com/news/makes-hdfc-bank-hdb-buy-170005761.html
21,"India Is Slumping, Which Means That Its Time to Shop for Stocks",https://www.barrons.com/articles/india-is-in-a-slump-time-to-buy-stocks-51576236600?siteid=yhoof2
22,Hedge Funds Have Never Been This Bullish On HDFC Bank Limited (HDB),https://finance.yahoo.com/news/hedge-funds-never-bullish-hdfc-185028790.html
23,"HDFC Bank Limited, Hong Kong Branch -- Moody's announces completion of a periodic review of ratings of HDFC Bank Limited",http://www.moodys.com/page/viewresearchdoc.aspx?docid=PR_409537&WT.mc_id=AM~WWFob29fRmluYW5jZV9TQl9SYXRpbmcgTmV3c19BbGxfRW5n~20191202_PR_409537
24,8 Stocks Ron Baron Continues to Buy,https://finance.yahoo.com/news/8-stocks-ron-baron-continues-203415736.html
25,Near-Term Outlook Looks Gloomy for Foreign Bank Stocks,https://finance.yahoo.com/news/near-term-outlook-looks-gloomy-122712514.html
26,Mitsubishi UFJ (MUFG) to Post Q2 Earnings: What's in Store?,https://finance.yahoo.com/news/mitsubishi-ufj-mufg-post-q2-124612458.html
