Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-07-20,0.62,0.63,0.61,0.62,17858000,0.0,0.0
2001-07-23,0.64,0.66,0.63,0.66,4428000,0.0,0.0
2001-07-24,0.66,0.67,0.65,0.65,4202000,0.0,0.0
2001-07-25,0.63,0.64,0.62,0.62,1790000,0.0,0.0
2001-07-26,0.62,0.63,0.62,0.62,1784000,0.0,0.0
2001-07-27,0.62,0.63,0.62,0.62,897000,0.0,0.0
2001-07-30,0.63,0.63,0.62,0.62,2105000,0.0,0.0
2001-07-31,0.63,0.64,0.61,0.62,739000,0.0,0.0
2001-08-01,0.63,0.64,0.63,0.64,887000,0.0,0.0
2001-08-02,0.63,0.64,0.62,0.64,1224000,0.0,0.0
2001-08-03,0.64,0.65,0.64,0.64,576000,0.0,0.0
2001-08-06,0.64,0.65,0.63,0.64,764000,0.0,0.0
2001-08-07,0.64,0.67,0.64,0.66,1315000,0.0,0.0
2001-08-08,0.66,0.68,0.66,0.68,1626000,0.0,0.0
2001-08-09,0.69,0.72,0.68,0.7,1018000,0.0,0.0
2001-08-10,0.69,0.7,0.68,0.68,182000,0.0,0.0
2001-08-13,0.68,0.68,0.67,0.68,245000,0.0,0.0
2001-08-14,0.68,0.68,0.68,0.68,324000,0.0,0.0
2001-08-15,0.68,0.68,0.64,0.64,1329000,0.0,0.0
2001-08-16,0.64,0.67,0.64,0.66,390000,0.0,0.0
2001-08-17,0.67,0.67,0.66,0.67,445000,0.0,0.0
2001-08-20,0.68,0.68,0.66,0.68,305000,0.0,0.0
2001-08-21,0.68,0.69,0.68,0.68,775000,0.0,0.0
2001-08-22,0.69,0.7,0.68,0.7,214000,0.0,0.0
2001-08-23,0.7,0.72,0.7,0.71,559000,0.0,0.0
2001-08-24,0.72,0.72,0.7,0.7,983000,0.0,0.0
2001-08-27,0.7,0.7,0.69,0.69,1358000,0.0,0.0
2001-08-28,0.69,0.69,0.68,0.68,582000,0.0,0.0
2001-08-29,0.68,0.68,0.67,0.68,1421000,0.0,0.0
2001-08-30,0.68,0.68,0.66,0.67,1083000,0.0,0.0
2001-08-31,0.67,0.67,0.66,0.66,80000,0.0,0.0
2001-09-04,0.66,0.67,0.65,0.67,314000,0.0,0.0
2001-09-05,0.68,0.72,0.68,0.72,1393000,0.0,0.0
2001-09-06,0.71,0.71,0.69,0.69,413000,0.0,0.0
2001-09-07,0.72,0.74,0.7,0.73,1464000,0.0,0.0
2001-09-10,0.73,0.73,0.71,0.71,1003000,0.0,0.0
2001-09-17,0.65,0.65,0.56,0.58,853000,0.0,0.0
2001-09-18,0.58,0.6,0.55,0.55,1084000,0.0,0.0
2001-09-19,0.55,0.58,0.55,0.58,1178000,0.0,0.0
2001-09-20,0.58,0.58,0.55,0.55,616000,0.0,0.0
2001-09-21,0.53,0.54,0.53,0.53,1395000,0.0,0.0
2001-09-24,0.55,0.61,0.55,0.59,829000,0.0,0.0
2001-09-25,0.56,0.56,0.55,0.55,1016000,0.0,0.0
2001-09-26,0.55,0.56,0.53,0.56,949000,0.0,0.0
2001-09-27,0.56,0.57,0.56,0.56,1338000,0.0,0.0
2001-09-28,0.56,0.6,0.56,0.59,649000,0.0,0.0
2001-10-01,0.6,0.6,0.59,0.6,735000,0.0,0.0
2001-10-02,0.59,0.6,0.59,0.6,200000,0.0,0.0
2001-10-03,0.6,0.6,0.58,0.58,1119000,0.0,0.0
2001-10-04,0.59,0.6,0.58,0.6,691000,0.0,0.0
2001-10-05,0.59,0.6,0.59,0.6,410000,0.0,0.0
2001-10-08,0.59,0.6,0.59,0.6,204000,0.0,0.0
2001-10-09,0.59,0.59,0.58,0.58,46000,0.0,0.0
2001-10-10,0.59,0.64,0.59,0.62,724000,0.0,0.0
2001-10-11,0.64,0.73,0.64,0.72,1155000,0.0,0.0
